Date,Temperature Max,Hours Open,Public Holiday,School Holiday,Day of the Week,Day of the Year,Crowd Size,Crowd Level
29/06/2021,23,13,0,0,2,180,,
30/06/2021,23,13,0,0,3,181,,
1/07/2021,27,13,0,0,4,182,,
2/07/2021,27,13,0,0,5,183,,
3/07/2021,27,13,0,0,6,184,,
4/07/2021,27,14,0,0,7,185,,
5/07/2021,27,14,0,0,1,186,,
6/07/2021,27,13,0,0,2,187,,
7/07/2021,27,13,0,0,3,188,,
8/07/2021,28,13,0,0,4,189,,
9/07/2021,28,13,0,0,5,190,,
10/07/2021,28,13,0,0,6,191,,
11/07/2021,28,14,0,0,7,192,,
12/07/2021,28,14,0,0,1,193,,
13/07/2021,28,13,0,0,2,194,,
14/07/2021,28,13,0,0,3,195,,
15/07/2021,28,13,1,0,4,196,,
16/07/2021,28,13,0,0,5,197,,
17/07/2021,28,13,0,0,6,198,,
18/07/2021,28,14,0,0,7,199,,
19/07/2021,29,14,0,0,1,200,,
20/07/2021,29,13,0,1,2,201,,
21/07/2021,29,13,0,1,3,202,,
22/07/2021,29,13,0,1,4,203,,
23/07/2021,29,13,0,1,5,204,,
24/07/2021,29,13,0,1,6,205,,
25/07/2021,29,14,0,1,7,206,,
26/07/2021,29,14,0,1,1,207,,
27/07/2021,29,13,0,1,2,208,,
28/07/2021,29,13,0,1,3,209,,
29/07/2021,29,13,0,1,4,210,,
30/07/2021,29,13,0,1,5,211,,
31/07/2021,29,13,0,1,6,212,,
1/08/2021,29,14,0,1,7,213,,
2/08/2021,29,14,0,1,1,214,,
3/08/2021,29,13,0,1,2,215,,
4/08/2021,29,13,0,1,3,216,,
5/08/2021,29,13,0,1,4,217,,
6/08/2021,30,13,1,1,5,218,,
7/08/2021,30,14,0,1,6,219,,
8/08/2021,30,14,0,1,7,220,,
9/08/2021,30,14,1,1,1,221,,
10/08/2021,30,13,0,1,2,222,,
11/08/2021,30,13,1,1,3,223,,
12/08/2021,30,13,1,1,4,224,,
13/08/2021,30,13,0,1,5,225,,
14/08/2021,30,14,0,1,6,226,,
15/08/2021,30,14,0,1,7,227,,
16/08/2021,30,14,0,1,1,228,,
17/08/2021,30,13,0,1,2,229,,
18/08/2021,30,13,0,1,3,230,,
19/08/2021,30,13,0,1,4,231,,
20/08/2021,30,13,0,1,5,232,,
21/08/2021,29,13,0,1,6,233,,
22/08/2021,29,14,0,1,7,234,,
23/08/2021,29,14,0,1,1,235,,
24/08/2021,29,13,0,1,2,236,,
25/08/2021,29,13,0,1,3,237,,
26/08/2021,29,13,0,1,4,238,,
27/08/2021,29,13,0,1,5,239,,
28/08/2021,28,14,0,1,6,240,,
29/08/2021,28,14,0,1,7,241,,
30/08/2021,28,14,0,1,1,242,,
31/08/2021,28,14,0,1,2,243,,
1/09/2021,28,14,0,0,3,244,,
2/09/2021,28,14,0,0,4,245,,
3/09/2021,28,14,0,0,5,246,,
4/09/2021,28,14,0,0,6,247,,
5/09/2021,27,14,0,0,7,248,,
6/09/2021,27,14,0,0,1,249,,
7/09/2021,27,13,0,0,2,250,,
8/09/2021,27,13,0,0,3,251,,
9/09/2021,27,13,0,0,4,252,,
10/09/2021,27,13,0,0,5,253,,
11/09/2021,27,13,0,0,6,254,,
12/09/2021,27,14,0,0,7,255,,
13/09/2021,26,14,0,0,1,256,,
14/09/2021,26,13,0,0,2,257,,
15/09/2021,26,13,0,0,3,258,,
16/09/2021,26,13,1,0,4,259,,
17/09/2021,26,13,0,0,5,260,,
18/09/2021,26,13,0,0,6,261,,
19/09/2021,25,14,0,0,7,262,,
20/09/2021,25,14,0,0,1,263,,
21/09/2021,25,13,0,0,2,264,,
22/09/2021,25,13,0,0,3,265,,
23/09/2021,25,13,1,0,4,266,,
24/09/2021,25,13,0,0,5,267,,
25/09/2021,24,13,0,0,6,268,,
26/09/2021,24,14,0,0,7,269,,
27/09/2021,24,14,0,0,1,270,,
28/09/2021,24,14,0,0,2,271,,
29/09/2021,24,14,0,0,3,272,,
30/09/2021,23,14,0,0,4,273,,
1/10/2021,23,14,0,0,5,274,,
2/10/2021,23,14,0,0,6,275,,
3/10/2021,23,14,0,0,7,276,,
4/10/2021,23,14,0,0,1,277,,
5/10/2021,23,14,0,0,2,278,,
6/10/2021,22,14,0,0,3,279,,
7/10/2021,22,14,0,0,4,280,,
8/10/2021,22,14,0,0,5,281,,
9/10/2021,22,14,0,0,6,282,,
10/10/2021,22,14,0,0,7,283,,
11/10/2021,22,14,0,0,1,284,,
12/10/2021,21,14,0,0,2,285,,
13/10/2021,21,14,0,0,3,286,,
14/10/2021,21,14,1,0,4,287,,
15/10/2021,21,14,0,0,5,288,,
16/10/2021,21,14,0,0,6,289,,
17/10/2021,20,14,0,0,7,290,,
18/10/2021,20,14,0,0,1,291,,
19/10/2021,20,14,0,0,2,292,,
20/10/2021,20,14,0,0,3,293,,
21/10/2021,20,14,0,0,4,294,,
22/10/2021,20,14,1,0,5,295,,
23/10/2021,19,14,0,0,6,296,,
24/10/2021,19,14,0,0,7,297,,
25/10/2021,19,14,0,0,1,298,,
26/10/2021,19,14,0,0,2,299,,
27/10/2021,19,14,0,0,3,300,,
28/10/2021,19,14,0,0,4,301,,
29/10/2021,18,14,0,0,5,302,,
30/10/2021,18,14,0,0,6,303,,
31/10/2021,18,14,0,0,7,304,,
1/11/2021,18,14,0,0,1,305,,
2/11/2021,18,14,0,0,2,306,,
3/11/2021,18,13,1,0,3,307,,
4/11/2021,17,13,1,0,4,308,,
5/11/2021,17,13,0,0,5,309,,
6/11/2021,17,13,0,0,6,310,,
7/11/2021,17,14,0,0,7,311,,
8/11/2021,17,14,0,0,1,312,,
9/11/2021,17,14,0,0,2,313,,
10/11/2021,16,14,0,0,3,314,,
11/11/2021,16,13,0,0,4,315,,
12/11/2021,16,13,0,0,5,316,,
13/11/2021,16,13,0,0,6,317,,
14/11/2021,16,14,0,0,7,318,,
15/11/2021,16,14,0,0,1,319,,
16/11/2021,15,13,0,0,2,320,,
17/11/2021,15,13,0,0,3,321,,
18/11/2021,15,13,0,0,4,322,,
19/11/2021,15,13,0,0,5,323,,
20/11/2021,15,14,0,0,6,324,,
21/11/2021,15,14,0,0,7,325,,
22/11/2021,15,14,0,0,1,326,,
23/11/2021,14,13,1,0,2,327,,
24/11/2021,14,13,0,0,3,328,,
